Customer_ID,Age,Gender,Income,Location,Campaign_ID,Product_Purchased,Purchase_Amount,Engagement_Score,Campaign_Channel,Campaign_Response_Time,Discount_Used,Satisfaction_Score
C0053,26,Male,43074.73,Illinois,M006,Product B,98.27,6.1,Social Media,32.3,TRUE,2.1
C0054,43,Female,78953.09,Texas,M001,Product C,334.21,5.4,Push Notification,12.9,TRUE,5.6
C0055,19,Female,81473.83,New York,M007,Product C,218.1,2.8,Social Media,65.3,TRUE,9.3
C0056,37,Male,49158.3,New York,M005,Product A,200.39,8.9,Social Media,47,FALSE,9.6
C0057,45,Male,62905.05,California,M017,Product A,490.96,8,Social Media,13.8,TRUE,2.1
C0058,64,Male,69634.17,Texas,M007,Product D,244.59,2.3,Email,40.7,FALSE,9
C0059,24,Male,51815.79,New York,M004,Product B,355.12,4.3,Social Media,24.3,TRUE,6.2
C0060,61,Male,67224.21,Texas,M003,Product B,332.48,5.9,SMS,11.4,FALSE,7.8
C0061,25,Male,62448.83,Texas,M012,Product D,96.94,5.1,Push Notification,13.9,TRUE,2.4
C0062,64,Female,37981.23,Florida,M015,Product A,386.57,4.6,Email,40.7,TRUE,7.6
C0063,52,Female,66887.42,New York,M020,Product B,195.42,7.5,Social Media,41.1,TRUE,1.6
C0064,31,Female,43497.86,Florida,M009,Product B,409.52,1.5,Social Media,57.1,FALSE,6.7
C0065,34,Female,74088.04,Illinois,M012,Product A,323.44,5.2,Push Notification,18.6,FALSE,7
C0066,53,Male,49931.83,Illinois,M005,Product C,192.69,3.4,Email,66,FALSE,7
C0067,67,Male,57580.72,Florida,M008,Product A,210.33,1.8,Email,37.8,TRUE,1.5
C0068,57,Female,80584.18,Illinois,M015,Product D,379.18,5.2,Social Media,15.5,FALSE,4.5
C0069,21,Male,67445.72,Florida,M007,Product B,297.53,2.5,Email,30.3,TRUE,7.7
C0070,19,Non-Binary,43807.89,California,M019,Product C,350.76,3.3,SMS,66.6,TRUE,8.2
C0071,23,Female,44776.25,Texas,M013,Product D,121.24,5.6,Social Media,34.9,TRUE,4.7
C0072,59,Female,51010.46,California,M001,Product A,404.14,9.8,Social Media,63.1,FALSE,2.5
C0073,21,Non-Binary,65919.66,New York,M011,Product C,194.18,7.2,Email,12.3,FALSE,5.5
C0074,46,Male,65374.5,California,M013,Product B,328.94,3.5,SMS,65.9,TRUE,6.9
C0075,35,Male,47353.47,California,M002,Product C,101.61,4.4,SMS,31.6,TRUE,9.3
C0076,43,Female,42491.86,Illinois,M019,Product B,194.64,4.7,Social Media,67.5,TRUE,7.1
C0077,61,Male,64223.75,Florida,M011,Product A,341.99,2.4,SMS,62.5,FALSE,8.4
C0078,51,Female,57272.1,New York,M001,Product C,173.39,2.4,SMS,47.9,TRUE,3.4
C0079,27,Male,92358.24,Illinois,M001,Product C,446.14,2.3,SMS,48.8,FALSE,8.5
C0080,53,Female,60549.05,New York,M008,Product C,347.55,5.7,Social Media,16,TRUE,6.5
C0081,31,Female,87213.79,Texas,M013,Product B,441.63,7.1,Push Notification,43.8,FALSE,5.9
C0082,48,Female,42444.25,Florida,M008,Product A,227.93,6.3,Social Media,40,FALSE,3.4
C0083,65,Male,36401.81,Illinois,M002,Product A,65.29,9.8,Push Notification,24.7,TRUE,2.8
C0084,32,Male,43198.72,California,M008,Product B,309.26,2.1,SMS,36.9,TRUE,5.9
C0085,25,Female,77836.95,Texas,M014,Product C,202.64,9.9,SMS,67,FALSE,9
C0086,31,Male,86341.52,California,M002,Product B,251.68,5.2,Social Media,1.4,TRUE,3.1
C0087,40,Female,48267.31,New York,M013,Product B,356.5,3,Social Media,30.6,TRUE,3.5
C0088,57,Female,53091.51,Texas,M005,Product D,365.3,9.5,Email,24.7,TRUE,9.5
C0089,38,Female,42465.29,Illinois,M001,Product A,62.4,5.2,Email,69.2,TRUE,1.2
C0090,33,Female,32825.4,California,M009,Product B,396.19,4.1,SMS,70.1,FALSE,5.4
C0091,62,Male,70776.18,California,M020,Product C,272.08,2.9,Social Media,42.6,FALSE,5.8
C0092,35,Female,63345.3,New York,M010,Product B,300.51,3.4,Social Media,40.1,FALSE,7.1
C0093,64,Female,60157.32,New York,M011,Product B,184.1,9.8,Social Media,65.1,TRUE,2.7
C0094,41,Male,38999.15,Florida,M018,Product B,239.38,3.7,SMS,1.5,TRUE,6.1
C0095,43,Non-Binary,84599.35,Florida,M017,Product C,369.67,9.8,Email,40.9,FALSE,2
C0096,42,Male,52449.65,New York,M006,Product D,399.52,4,Social Media,2.7,FALSE,3.4
C0097,62,Male,68004.4,Florida,M011,Product B,224.2,3.1,Social Media,69.7,TRUE,1.1
C0098,58,Male,38181.58,California,M004,Product A,361,2.7,Push Notification,23.7,FALSE,5.1
C0099,46,Female,57142.12,New York,M001,Product B,166.12,4.7,Email,38,FALSE,2.6
C0100,32,Male,64370.62,Texas,M001,Product D,424.41,3.1,Social Media,30.6,TRUE,1.9
C0101,62,Female,64906.13,New York,M018,Product B,324.42,7.3,Social Media,64.4,FALSE,4.1
C0102,18,Female,62319.73,Illinois,M005,Product A,398.83,3.2,Push Notification,72,FALSE,1.7
C0103,42,Male,67417.84,Illinois,M016,Product D,264.72,8.5,Email,5.9,FALSE,7
C0104,24,Male,43042.19,New York,M002,Product A,153.1,8.5,Email,53,FALSE,2.8
C0105,26,Female,62960.59,Texas,M009,Product A,243.15,3.6,Social Media,27.1,TRUE,7.4
C0106,41,Male,61706.37,New York,M002,Product A,221.67,7.8,Social Media,10.9,FALSE,8.6
C0107,18,Female,63475.09,Texas,M005,Product D,199.72,8.7,Social Media,29.8,FALSE,7.7
C0108,61,Male,61085.18,California,M020,Product D,145.48,6.3,Push Notification,71.9,FALSE,7.9
C0109,25,Female,40901.81,California,M017,Product A,391.63,4.3,Push Notification,26.4,FALSE,6.8
C0110,41,Female,40233,Texas,M019,Product A,88.86,5,Push Notification,20.7,TRUE,4.4
C0111,28,Male,26785.98,Florida,M010,Product C,449.4,8.1,Push Notification,61.1,FALSE,4.1
C0112,68,Male,72263.02,California,M008,Product D,128.76,3.6,Push Notification,62.6,FALSE,6.1
C0113,34,Male,72414.86,Illinois,M020,Product B,490.94,4,Email,25.1,TRUE,3.2
C0114,25,Male,72653.25,New York,M011,Product D,494.81,2.4,Social Media,22.2,FALSE,4.1
C0115,52,Female,64601.85,Florida,M013,Product C,229.27,4.6,Email,47,FALSE,2.4
C0116,52,Female,28003.21,Illinois,M013,Product C,494.52,1.8,Push Notification,15.6,TRUE,8
C0117,50,Male,44599.34,New York,M009,Product A,441.08,3.9,Social Media,35.3,FALSE,7.6
C0118,22,Female,62556.23,Illinois,M005,Product D,87.09,4.4,SMS,11,TRUE,5.5
C0119,59,Female,62032.77,Florida,M018,Product B,476.3,3.3,Social Media,22.6,FALSE,4.3
C0120,56,Male,56658.78,Texas,M008,Product D,69.13,1.9,Social Media,22.1,FALSE,7.3
C0121,58,Male,65533.76,New York,M020,Product C,131.86,5.7,Social Media,50.3,FALSE,1.8
C0122,45,Female,60174.78,Illinois,M014,Product B,313.07,8.8,SMS,21,TRUE,1.4
C0123,24,Female,61811.56,Illinois,M002,Product B,86.33,4,Email,64.8,FALSE,7.3
C0124,26,Female,50414.02,Florida,M016,Product A,122.78,3.1,Social Media,70.8,FALSE,6
C0125,25,Female,74730.16,Florida,M001,Product D,479.07,3.6,Email,6.8,FALSE,7.6
C0126,29,Male,53538.43,Florida,M013,Product D,497.61,8.8,Email,29.2,TRUE,3.5
C0127,51,Female,40040.26,Texas,M018,Product D,409.16,5.8,SMS,22.4,FALSE,2
C0128,50,Female,48435.01,California,M001,Product B,281.84,2.2,SMS,26,FALSE,4.9
C0129,65,Female,54773.01,Illinois,M007,Product C,455.14,7.4,Social Media,19.8,TRUE,4.8
C0130,40,Male,74910.04,Texas,M004,Product C,100.35,2.4,Push Notification,28.2,TRUE,7.8
C0131,41,Male,59365.98,Illinois,M010,Product A,474.3,1.5,Push Notification,11,TRUE,2.1
C0132,54,Male,57207.78,Texas,M008,Product C,208.2,3.3,Push Notification,20.9,TRUE,9.5
C0133,52,Female,41270.05,New York,M003,Product D,437.67,2.5,Social Media,54.1,TRUE,1.5
C0134,61,Male,71782.24,California,M007,Product A,350.77,6.4,Push Notification,25.4,FALSE,3.8
C0135,57,Male,50220.72,Illinois,M016,Product C,482.12,5.4,Push Notification,15.8,TRUE,7.3
C0136,39,Male,58499.58,Florida,M020,Product C,439.11,7.5,SMS,8.7,FALSE,7.5
C0137,44,Male,82202.75,California,M010,Product A,449.55,5.6,SMS,25.7,FALSE,6.1
C0138,52,Female,67631.45,Illinois,M013,Product B,334.29,4.8,Social Media,46.7,TRUE,1.6
C0139,18,Female,35576.19,New York,M001,Product A,424.92,5.7,Push Notification,19,TRUE,8.7
C0140,52,Female,33457.35,Illinois,M007,Product B,390.71,4.9,Social Media,31,FALSE,6.7
C0141,54,Male,59035.34,Illinois,M010,Product D,122.73,1.3,Push Notification,68.6,TRUE,7.8
C0142,64,Female,41808.89,Illinois,M012,Product B,341.87,7.1,Email,40.2,FALSE,4.5
C0143,31,Male,69728.2,California,M014,Product A,116.68,9.7,Social Media,38.8,FALSE,3.2
C0144,20,Male,60633.95,Illinois,M011,Product D,441.26,4.8,SMS,30.1,TRUE,7.5
C0145,18,Male,62480.77,Florida,M017,Product A,79.68,4.8,Push Notification,40.5,TRUE,8.3
C0146,22,Male,49398.85,Texas,M009,Product A,494.17,1.4,Push Notification,70.9,TRUE,8.3
C0147,43,Male,86120.75,Florida,M008,Product B,230.28,9,Email,19,TRUE,7.5
C0148,31,Female,102638.91,New York,M010,Product B,126.78,9.4,Email,67.9,FALSE,2.3
C0149,56,Female,55821.23,California,M004,Product B,471.05,8.3,Email,11.6,TRUE,3
C0150,44,Female,65295.59,Texas,M005,Product D,70.44,2,Email,8.9,TRUE,5.5
C0151,26,Male,61461.26,California,M018,Product B,261.55,9.1,Email,47.5,TRUE,5.6
C0152,32,Male,56104.7,California,M006,Product D,396.6,1.2,Email,18.8,FALSE,5.4
C0153,32,Male,47518.94,Illinois,M010,Product A,192.54,5,Push Notification,32.6,TRUE,8.4
C0154,43,Non-Binary,43725.48,Florida,M018,Product A,287.98,5.5,SMS,52.8,TRUE,2.1
C0155,59,Female,42966.04,Texas,M011,Product B,365.19,8.5,SMS,39,TRUE,8.1
C0156,30,Female,66078.6,Illinois,M005,Product C,478.39,7.8,Social Media,2,FALSE,1.2
C0157,68,Male,52204.88,Texas,M003,Product A,96.22,8.2,Push Notification,22.7,TRUE,3.9
C0158,49,Female,21325.61,Florida,M018,Product C,120.75,8.8,Push Notification,5.6,FALSE,2.8
C0159,56,Male,66672.87,Illinois,M004,Product C,278.99,5.3,SMS,66.8,TRUE,5.7
C0160,66,Female,59426.08,Texas,M008,Product C,238.31,8,SMS,57.4,TRUE,5.7
C0161,69,Female,80200.1,Illinois,M017,Product B,234.86,1.6,Social Media,70.9,FALSE,5.6
C0162,49,Non-Binary,65596.84,California,M010,Product D,183.63,5,Email,63.8,TRUE,3.6
C0163,21,Female,37819.9,New York,M019,Product A,302.31,1.3,Push Notification,34.7,TRUE,5.7
C0164,47,Male,26554.85,Texas,M001,Product C,447.48,9.2,SMS,63.7,TRUE,7.4
C0165,54,Female,49207.91,Florida,M002,Product D,122.42,9.6,Push Notification,48.7,TRUE,4.5
C0166,40,Female,50623.39,Texas,M011,Product B,146.88,1.8,SMS,38.2,TRUE,9.4
C0167,56,Male,74147.39,New York,M015,Product A,351.87,5.8,Email,27.3,FALSE,1.6
C0168,62,Male,59866.94,Texas,M001,Product D,75.29,3.9,Email,49.3,FALSE,9.9
C0169,32,Male,77005.33,Texas,M009,Product B,353.19,4.1,Push Notification,42.9,FALSE,7.9
C0170,60,Male,40127.5,Texas,M008,Product A,191.51,5.1,SMS,44.6,FALSE,6.3
C0171,46,Male,74478.97,Florida,M001,Product A,211.03,2.1,Push Notification,29.4,TRUE,2.8
C0172,53,Female,70814.84,New York,M010,Product B,232.5,2.6,Email,53.5,TRUE,6.6
C0173,30,Male,29726.49,New York,M017,Product C,207.31,6.2,Push Notification,6.8,TRUE,8.2
C0174,49,Male,79839.27,Florida,M018,Product A,428.54,1.2,SMS,52.6,TRUE,3.3
C0175,24,Female,61401.88,Texas,M016,Product A,475.73,6.4,Email,52.9,TRUE,1.4
C0176,68,Female,65880.67,Texas,M002,Product C,296.61,3.9,Push Notification,37.6,FALSE,5
C0177,39,Female,47026.56,New York,M017,Product D,311.85,8.5,Social Media,19.7,TRUE,3.7
C0178,45,Male,79128.71,Texas,M004,Product A,81.72,6.4,Push Notification,37.9,TRUE,3.6
C0179,19,Female,42212.22,California,M007,Product D,370.94,7.4,Push Notification,9.7,FALSE,7.5
C0180,59,Female,72481.38,Texas,M009,Product C,312.84,2,SMS,21.2,TRUE,2.3
C0181,62,Male,72309.11,Texas,M003,Product A,72.68,3.4,Email,30.9,TRUE,6.9
C0182,23,Male,45387.49,Illinois,M020,Product C,139.29,10,Email,48.8,FALSE,1.6
C0183,45,Female,89750.6,New York,M005,Product A,140.87,4.9,Social Media,14.3,TRUE,9.3
C0184,45,Female,63472.93,New York,M018,Product A,126.94,4.2,Push Notification,12.2,TRUE,6.3
C0185,61,Non-Binary,69808.39,California,M017,Product A,346.39,8.9,Push Notification,44.2,TRUE,9.4
C0186,61,Female,37093.19,California,M007,Product C,467.8,1.3,Push Notification,49.2,TRUE,8.8
C0187,37,Female,91765.95,California,M014,Product A,393.34,5.8,Email,6.9,TRUE,8.8
C0188,47,Female,41631.65,New York,M015,Product D,264.82,2.9,Email,3.4,TRUE,2.1
C0189,28,Male,75373.3,Illinois,M014,Product B,231.82,4.3,Push Notification,11.4,TRUE,7.3
C0190,45,Male,45078.42,Illinois,M009,Product B,223.91,2.8,Push Notification,65,FALSE,4.6
C0191,42,Male,50715.17,Florida,M016,Product B,320.56,1.3,Email,48.8,FALSE,5.1
C0192,56,Female,71831.31,New York,M019,Product D,211.65,4.7,SMS,66.4,TRUE,3.5
C0193,50,Female,75413.29,Florida,M001,Product A,151.75,8.1,Social Media,48.2,TRUE,2.3
C0194,18,Female,40930.74,Texas,M008,Product C,321.28,9.6,Social Media,69.5,FALSE,3.8
C0195,44,Male,76357.08,California,M018,Product C,225.82,6.6,Social Media,32.2,TRUE,5.9
C0196,69,Female,75674.71,Florida,M002,Product A,56.36,4.5,SMS,43.5,FALSE,4.7
C0197,30,Male,45930.7,Florida,M004,Product D,60,7.9,Push Notification,43.7,TRUE,7.3
C0198,58,Male,83979.71,New York,M001,Product B,173.36,5.5,Email,1.2,TRUE,8.6
C0199,20,Female,38147.14,California,M019,Product D,280.59,4.3,SMS,2.9,TRUE,2.9
C0200,56,Female,50628.41,California,M011,Product D,209.41,2.6,Social Media,11.3,FALSE,1.5
C0201,23,Non-Binary,67185.04,Illinois,M006,Product C,60.82,8.2,Push Notification,37.3,TRUE,9.9
C0202,25,Male,47196.51,Florida,M019,Product A,150.42,5.5,Social Media,31.6,TRUE,8.9
C0203,44,Female,63957.29,Illinois,M014,Product C,93.39,9.7,Social Media,39.3,TRUE,3.4
C0204,26,Male,63616.14,Florida,M019,Product B,476.88,8.2,SMS,57.8,TRUE,2.5
C0205,54,Male,57193.89,New York,M013,Product B,190.78,4.8,Push Notification,59.4,TRUE,9.6
C0206,50,Female,72486.01,New York,M012,Product C,56.64,7.7,SMS,70.4,FALSE,3.1
C0207,68,Female,56574.59,Texas,M010,Product A,347.25,5.1,Email,40.6,TRUE,3
C0208,59,Female,63473.12,Florida,M019,Product A,154.6,1.7,SMS,25.7,FALSE,2
C0209,61,Male,77197.08,Florida,M011,Product D,305.03,5.7,Email,22.9,TRUE,3.6
C0210,41,Female,71860.29,California,M012,Product D,117.84,8.8,Email,25.2,TRUE,8.6
C0211,32,Male,71790.26,California,M007,Product C,492.81,8.7,Email,24,FALSE,6.1
C0212,49,Female,42762.31,Illinois,M008,Product B,486.62,6.2,Push Notification,28.9,TRUE,1.8
C0213,49,Male,67871.89,Texas,M017,Product A,345.19,4.4,Push Notification,6.3,FALSE,9.7
C0214,41,Male,46822.52,New York,M003,Product C,368.24,1.1,Social Media,46,FALSE,5.9
C0215,58,Female,40778.78,Florida,M006,Product C,241.65,3.8,Email,41.3,TRUE,4.8
C0216,69,Female,58924.4,Illinois,M012,Product B,482.98,9.9,Push Notification,33.8,TRUE,8.1
C0217,66,Male,46435.57,Texas,M015,Product D,240.68,7.5,SMS,6.8,FALSE,6
C0218,66,Male,71859.27,California,M007,Product B,157.76,7.5,SMS,7.6,FALSE,9.1
C0219,69,Female,72218.03,Texas,M006,Product D,101.92,7.8,Push Notification,39.7,TRUE,7.3
C0220,29,Male,31460.61,Illinois,M012,Product D,143.66,6.6,Push Notification,3.6,TRUE,7
C0221,56,Male,47575.46,New York,M012,Product A,307.5,6.3,Social Media,52.5,FALSE,4
C0222,19,Male,38103.2,California,M004,Product A,160.29,5.1,Social Media,71.6,FALSE,9.9
C0223,20,Male,53060.56,California,M009,Product D,344.41,5,Social Media,43.4,TRUE,6.9
C0224,66,Female,66827.64,New York,M017,Product D,221.98,8.8,SMS,52.4,TRUE,5
C0225,54,Female,56365.68,California,M002,Product A,449.09,4.5,SMS,32.2,TRUE,2.3
C0226,66,Female,51153.61,Illinois,M005,Product D,301.32,8.6,Email,48.4,TRUE,6
C0227,34,Non-Binary,79502.65,California,M010,Product D,330.17,8.5,SMS,47.3,TRUE,7
C0228,66,Male,25427.14,Florida,M006,Product D,300.45,7.9,Push Notification,59.5,FALSE,4.3
C0229,19,Male,78553.08,Texas,M006,Product B,448.51,1.3,Social Media,51.5,TRUE,1.6
C0230,19,Male,51835.68,Illinois,M005,Product C,78.54,2.3,Email,54.2,FALSE,8.2
C0231,45,Male,58828.36,New York,M008,Product D,80.31,3.8,Email,40.5,FALSE,6.9
C0232,40,Male,52089.55,Illinois,M003,Product A,365.78,8.6,Push Notification,35.4,TRUE,7.2
C0233,54,Female,83143.32,Florida,M014,Product D,395.58,8.9,Social Media,33.6,FALSE,3.2
C0234,49,Female,41535.32,California,M005,Product D,245.12,1.4,Email,28.8,FALSE,2.2
C0235,50,Male,60176.05,California,M015,Product A,208.54,3.9,Social Media,19.9,FALSE,5.1
C0236,18,Female,67911.58,Illinois,M009,Product A,175.08,8.7,Social Media,3.4,TRUE,3.2
C0237,36,Female,35834.96,California,M015,Product D,155.48,3.2,Social Media,48.6,FALSE,8
C0238,19,Female,46201.53,California,M019,Product C,460.38,9.8,SMS,65,FALSE,5.8
C0239,61,Female,57777.32,Florida,M016,Product A,182.81,5.4,Social Media,67.1,TRUE,2.2
C0240,43,Female,46700.02,New York,M008,Product A,341.64,9.4,Social Media,42.2,TRUE,2.8
C0241,49,Female,47766.12,Texas,M015,Product B,404.19,4.9,Push Notification,7.7,FALSE,9
C0242,23,Female,54752.06,Illinois,M011,Product D,59.88,3.9,Push Notification,63.4,TRUE,6.7
C0243,49,Female,69743.72,New York,M004,Product B,65.24,4.3,Email,54.1,FALSE,4.6
C0244,21,Male,54859.23,Texas,M010,Product B,199.91,9,Email,18.9,FALSE,7.5
C0245,28,Male,76176.39,New York,M010,Product C,363.21,4,Social Media,58.1,TRUE,8.3
C0246,34,Female,45033.63,Illinois,M002,Product D,167.36,7,Push Notification,34.5,FALSE,2
C0247,55,Male,41221.17,Florida,M008,Product D,50.67,5.2,Email,64,TRUE,8.6
C0248,41,Male,88895.18,Florida,M008,Product B,179.67,9.5,SMS,18.6,TRUE,9.5
C0249,22,Female,50130.63,Florida,M009,Product A,90.56,2.4,Push Notification,57.9,FALSE,1.8
C0250,69,Male,40336.32,New York,M002,Product A,148.74,4.9,Push Notification,51.5,TRUE,3.9
C0251,51,Female,33869.19,Illinois,M014,Product D,199.94,2.1,Push Notification,2,TRUE,2.5
C0252,23,Female,76126.55,California,M020,Product C,107.63,6.2,SMS,41,FALSE,4.9
C0253,39,Non-Binary,54880.43,California,M002,Product C,367.86,4.6,Email,51.8,TRUE,3
C0254,28,Female,56194.35,Florida,M004,Product D,165.16,1.5,Email,12.1,FALSE,4.3
C0255,65,Male,57611.97,New York,M003,Product A,347.49,8.6,Email,38.8,FALSE,3.2
C0256,33,Female,75194.14,California,M014,Product C,319.56,4.4,Email,22.6,TRUE,1
C0257,50,Female,57307.05,New York,M016,Product D,454.12,5.4,Email,50.4,TRUE,1.2
C0258,26,Non-Binary,95160.81,Illinois,M015,Product D,89.57,4.7,Push Notification,39.3,TRUE,5.6
C0259,23,Male,62006.41,Florida,M007,Product A,146.57,5.4,SMS,45.1,FALSE,5.6
C0260,33,Male,75926.77,Texas,M018,Product B,439.33,1.1,Social Media,6.2,TRUE,1.3
C0261,46,Female,72078.6,Florida,M020,Product A,419.96,8.3,Email,10.8,TRUE,7.3
C0262,20,Male,59453.29,Texas,M006,Product C,136.45,4,Social Media,40.2,TRUE,1.2
C0263,37,Female,51195.44,California,M016,Product B,98.48,7.5,Email,13.9,FALSE,5.4
C0264,53,Male,64979.46,Texas,M011,Product A,435.31,1.6,Push Notification,36.4,TRUE,4.6
C0265,36,Male,67651.48,New York,M002,Product C,130.16,5.7,Push Notification,50,TRUE,8.9
C0266,43,Male,51411.21,Texas,M002,Product C,442,9.2,Social Media,58.5,TRUE,6.2
C0267,20,Male,62495.08,California,M014,Product B,482.5,4.6,Email,11.2,FALSE,8.4
C0268,36,Female,78543.07,California,M009,Product A,149.36,2.8,Email,53.7,TRUE,10
C0269,37,Female,91049.22,Florida,M012,Product A,428.17,1.9,SMS,26.8,FALSE,2.6
C0270,49,Male,72815.54,California,M003,Product C,240.72,8.7,SMS,49.2,TRUE,1.6
C0271,24,Female,87941.4,New York,M005,Product D,404.95,3.1,Push Notification,11.3,TRUE,8
C0272,69,Male,50559.39,Texas,M009,Product D,233.33,9.8,SMS,37.6,TRUE,6.7
C0273,58,Female,70528.23,Illinois,M003,Product B,81.68,3.2,SMS,60.5,TRUE,6.7
C0274,50,Male,80077.79,California,M018,Product A,370.71,5.3,Push Notification,8.6,TRUE,3.8
C0275,57,Female,46555,Texas,M002,Product D,117.81,5.1,Email,59.8,TRUE,1.9
C0276,56,Female,52716.15,Florida,M004,Product B,467.16,1.6,SMS,33.1,TRUE,7.5
C0277,35,Female,86068.57,Illinois,M013,Product C,237.99,5.8,Social Media,59.5,FALSE,5.9
C0278,57,Female,45373.52,Florida,M017,Product D,86.9,7.1,SMS,69,FALSE,5.5
